Date,Closed At,Duration,Symbol,Side,Status,Account,Zone Type,Zone Grade,Entry Model,Session,Mode,Entry,Stop Loss,Take Profit,Exit Price,Size (lots),Exit Type,SL Pips,R:R,AI Score,PnL ($),PnL (%),Notes
2026-05-05 03:05:03,,,XAUUSD,BUY,TRADING_PERMISSION_REJECTED,ACG-DEMO-3,demand,,FLIP,Asia,LIVE,4522.9,4517.18,4614.42,,,,,,55,,,"TradingView sl_hit alert received at 4519.48, but LIVE broker SL/TP is authoritative; no market close sent."
2026-05-05 03:05:00,,,XAUUSD,BUY,TRADING_PERMISSION_REJECTED,FTMO - 50K - TRAIL-1,demand,,FLIP,Asia,LIVE,4522.9,4517.18,4614.42,,,,,,55,,,"TradingView sl_hit alert received at 4519.48, but LIVE broker SL/TP is authoritative; no market close sent."
2026-05-05 00:10:03,,,GBPUSD,BUY,TRADING_PERMISSION_REJECTED,ACG-DEMO-3,demand,,BREAK_CANDLE,Off,LIVE,1.35316,1.35193,1.36546,,,,,,75,,,"TradingView sl_hit alert received at 1.35252, but LIVE broker SL/TP is authoritative; no market close sent."
2026-05-05 00:10:00,,,GBPUSD,BUY,TRADING_PERMISSION_REJECTED,FTMO - 50K - TRAIL-1,demand,,BREAK_CANDLE,Off,LIVE,1.35316,1.35193,1.36546,,,,,,75,,,"TradingView sl_hit alert received at 1.35252, but LIVE broker SL/TP is authoritative; no market close sent."
2026-05-04 18:30:12,,,GBPUSD,BUY,EXECUTION_FAILED,,demand,B+,FLIP,NY,LIVE,1.35394,1.35288,1.36454,,,,10.6,10,75,,,"TradingView sl_hit alert received at 1.35353, but LIVE broker SL/TP is authoritative; no market close sent."
2026-05-04 18:30:03,,,GBPUSD,BUY,RISK_REJECTED,ACG-DEMO-3,demand,,FLIP,NY,LIVE,1.35394,1.35288,1.36454,,,,,,75,,,"TradingView sl_hit alert received at 1.35353, but LIVE broker SL/TP is authoritative; no market close sent."
2026-05-04 13:20:11,,,GBPNZD,SELL,EXECUTION_FAILED,,supply,A+,FLIP,LDN,LIVE,2.30218,2.30297,2.3002,,,,7.9,2.5,95,,,"TradingView tp_hit alert received at 2.30083, but LIVE broker SL/TP is authoritative; no market close sent."
2026-05-04 13:20:02,2026-05-04 13:27:27,7m,GBPNZD,SELL,CLOSED,ACG-DEMO-3,supply,A+,FLIP,LDN,LIVE,2.30218,2.30297,2.3002,,,,7.9,2.5,95,350.40999999999997,,"TradingView tp_hit alert received at 2.30083, but LIVE broker SL/TP is authoritative; no market close sent."
2026-05-04 10:55:14,,,GBPNZD,BUY,EXECUTION_FAILED,,demand,A+,BREAK_CANDLE,LDN,LIVE,2.30005,2.29893,2.30285,,,,11.2,2.5,100,,,Execution exception: invalid literal for int() with base 10: 'None'
2026-05-04 10:55:02,2026-05-04 11:20:04,25m,GBPNZD,BUY,CLOSED,ACG-DEMO-3,demand,A+,BREAK_CANDLE,LDN,LIVE,2.30005,2.29893,2.30285,2.29882,,sl_hit,11.2,2.5,100,-188.57000000000002,,"Received by API, awaiting worker"
2026-05-04 10:50:13,,,USDJPY,BUY,EXECUTION_FAILED,,demand,A+,FLIP,LDN,LIVE,156.886,156.786,157.136,,,,10,2.5,95,,,"TradingView tp_hit alert received at 157.124, but LIVE broker SL/TP is authoritative; no market close sent."
2026-05-04 10:50:02,2026-05-04 13:07:01,2h 16m,USDJPY,BUY,CLOSED,ACG-DEMO-3,demand,A+,FLIP,LDN,LIVE,156.886,156.786,157.136,,,,10,2.5,95,429.74,,"TradingView tp_hit alert received at 157.124, but LIVE broker SL/TP is authoritative; no market close sent."
2026-05-04 08:25:12,,,XAUUSD,SELL,EXECUTION_FAILED,,supply,A,DIR_CLOSE,Asia,LIVE,4604.85,4613.37,4468.53,,,,852,16,80,,,Execution exception: invalid literal for int() with base 10: 'None'
2026-05-04 08:25:03,2026-05-04 16:20:04,7h 55m,XAUUSD,SELL,CLOSED,ACG-DEMO-3,supply,A,DIR_CLOSE,Asia,LIVE,4604.85,4613.37,4468.53,4564.73,,time_stop,852,16,80,420.64,,"Corrected realized XAUUSD PnL: gross 420.64, charges -0.80"
2026-05-04 01:45:16,,,GBPNZD,BUY,EXECUTION_FAILED,,demand,B+,FLIP,Off,LIVE,2.30075,2.29984,2.30303,,,,9.1,2.5,75,,,Execution exception: invalid literal for int() with base 10: 'None'
2026-05-04 01:45:01,2026-05-04 02:50:02,1h 5m,GBPNZD,BUY,CLOSED,ACG-DEMO-3,demand,B+,FLIP,Off,LIVE,2.30075,2.29984,2.30303,2.29957,,sl_hit,9.1,2.5,75,-134.21,,"Received by API, awaiting worker"
2026-05-01 17:10:20,,,USDJPY,BUY,EXECUTION_FAILED,,demand,B+,DIR_CLOSE,NY,LIVE,156.441,156.31,156.768,,,,13.1,2.5,70,,,Execution exception: invalid literal for int() with base 10: 'None'
2026-05-01 17:10:03,2026-05-01 18:55:06,1h 45m,USDJPY,BUY,CLOSED,ACG-DEMO-3,demand,B+,DIR_CLOSE,NY,LIVE,156.441,156.31,156.768,156.707,,tp_hit,13.1,2.5,70,149.84,,"Received by API, awaiting worker"
2026-05-01 09:35:01,,,GBPUSD,SELL,RECEIVED,default,,,,,LIVE,1.35898,1.35966,1.35218,,,,,,,,,"Received by API, awaiting worker"
2026-05-01 09:05:21,,,GBPNZD,SELL,EXECUTION_FAILED,,supply,A,FLIP,Asia,LIVE,2.30626,2.30698,2.30446,,,,7.2,2.5,80,,,Exit received from TradingView (close=2.30697) but entry was execution_failed — PnL not recorded.
2026-05-01 09:05:02,,,GBPNZD,SELL,EXECUTION_FAILED,default,supply,A,FLIP,Asia,LIVE,2.30626,2.30698,2.30446,,,,7.2,2.5,80,,,Auto-expired by watchdog: no broker fill after 60min
2026-05-01 08:20:12,,,GBPNZD,BUY,EXECUTION_FAILED,,demand,A+,FLIP,Asia,LIVE,2.30654,2.30596,2.30799,,,,5.8,2.5,100,,,Execution exception: invalid literal for int() with base 10: 'None'
2026-05-01 08:20:01,2026-05-01 08:35:04,15m,GBPNZD,BUY,CLOSED,ACG-DEMO-3,demand,A+,FLIP,Asia,LIVE,2.30654,2.30596,2.30799,2.30585,,sl_hit,5.8,2.5,100,-81.08000000000001,,"Received by API, awaiting worker"
2026-05-01 04:05:16,,,GBPUSD,SELL,EXECUTION_FAILED,,supply,B,FLIP,Asia,LIVE,1.36004,1.36093,1.35114,,,,8.9,10,60,,,Execution exception: invalid literal for int() with base 10: 'None'
2026-05-01 04:05:04,2026-05-01 06:25:04,2h 19m,GBPUSD,SELL,CLOSED,ACG-DEMO-3,supply,B,FLIP,Asia,LIVE,1.36004,1.36093,1.35114,1.36118,,sl_hit,8.9,10,60,-267.15,,"Received by API, awaiting worker"
2026-04-30 16:15:26,,,USDJPY,BUY,EXECUTION_FAILED,,demand,B+,FLIP,NY,LIVE,156.67,156.178,157.9,,,,49.2,2.5,75,,,Execution exception: invalid literal for int() with base 10: 'None'
2026-04-30 16:15:03,2026-04-30 20:35:05,4h 20m,USDJPY,BUY,CLOSED,ACG-DEMO-3,demand,B+,FLIP,NY,LIVE,156.67,156.178,157.9,156.491,,time_stop,49.2,2.5,75,-25.5,,"Received by API, awaiting worker"
2026-04-30 15:25:13,,,GBPUSD,BUY,EXECUTION_FAILED,,demand,A+,BREAK_CANDLE,NY,LIVE,1.35071,1.34956,1.36221,,,,11.5,10,100,,,Execution exception: invalid literal for int() with base 10: 'None'
2026-04-30 15:25:02,2026-04-30 18:00:10,2h 35m,GBPUSD,BUY,CLOSED,ACG-DEMO-3,demand,A+,BREAK_CANDLE,NY,LIVE,1.35071,1.34956,1.36221,1.35827,,time_stop,11.5,10,100,376.56,,"Received by API, awaiting worker"
2026-04-30 14:05:13,,,GBPNZD,SELL,EXECUTION_FAILED,,supply,A+,FLIP,LDN,LIVE,2.30528,2.3073,2.30023,,,,20.2,2.5,100,,,Execution exception: invalid literal for int() with base 10: 'None'
2026-04-30 14:05:03,2026-04-30 17:05:04,3h 0m,GBPNZD,SELL,CLOSED,ACG-DEMO-3,supply,A+,FLIP,LDN,LIVE,2.30528,2.3073,2.30023,2.29951,,tp_hit,20.2,2.5,100,166.3,,"Received by API, awaiting worker"
2026-04-30 09:40:14,,,GBPUSD,SELL,EXECUTION_FAILED,,supply,B+,BREAK_CANDLE,Asia,LIVE,1.34742,1.34811,1.34052,,,,6.9,10,75,,,Execution exception: invalid literal for int() with base 10: 'None'
2026-04-30 09:40:02,2026-04-30 10:05:05,25m,GBPUSD,SELL,CLOSED,ACG-DEMO-3,supply,B+,BREAK_CANDLE,Asia,LIVE,1.34742,1.34811,1.34052,1.348,,sl_hit,6.9,10,75,-74.1,,"Received by API, awaiting worker"
2026-04-30 08:30:12,,,XAUUSD,SELL,EXECUTION_FAILED,,supply,A,FLIP,Asia,LIVE,4555.71,4559.23,4499.39,,,,352,16,80,,,Execution exception: invalid literal for int() with base 10: 'None'
2026-04-30 08:30:02,2026-04-30 08:31:45,1m,XAUUSD,SELL,CLOSED,ACG-DEMO-3,supply,A,FLIP,Asia,LIVE,4555.71,4559.23,4499.39,4559.27,,sl_hit,352,16,80,-77.36,,"Received by API, awaiting worker"
2026-04-30 05:00:12,,,GBPUSD,SELL,EXECUTION_FAILED,,supply,A+,FLIP,Asia,LIVE,1.34818,1.34896,1.34038,,,,7.8,10,90,,,Execution exception: invalid literal for int() with base 10: 'None'
2026-04-30 05:00:02,,,GBPUSD,SELL,RISK_REJECTED,ACG-DEMO-3,supply,,FLIP,Asia,LIVE,1.34818,1.34896,1.34038,,,,,,90,,,SignalGuard (ACG-DEMO-3): Circuit breaker: 3 consecutive losses ($895 total) — paused 3.5h remaining at rejection (until 2026-04-30 05:30 UTC; 4.0h cooldown from last close)
2026-04-30 03:55:12,,,XAUUSD,SELL,EXECUTION_FAILED,,supply,B+,DIR_CLOSE,Asia,LIVE,4573.27,4574.28,4557.11,,,,101,16,75,,,Execution exception: invalid literal for int() with base 10: 'None'
2026-04-30 03:55:03,2026-04-30 04:27:51,32m,XAUUSD,SELL,CLOSED,ACG-DEMO-3,supply,B+,DIR_CLOSE,Asia,LIVE,4573.27,4574.28,4557.11,4574.4,,sl_hit,101,16,75,-120.64,,"Received by API, awaiting worker"
2026-04-29 19:15:12,,,USDJPY,BUY,EXECUTION_FAILED,,demand,A+,BREAK_CANDLE,NY,LIVE,160.248,160.14,160.518,,,,10.8,2.5,100,,,Exit received from TradingView (close=160.434) but entry was execution_failed — PnL not recorded.
2026-04-29 19:15:03,,,USDJPY,BUY,RISK_REJECTED,ACG-DEMO-3,demand,,BREAK_CANDLE,NY,LIVE,160.248,160.14,160.518,,,,,,100,,,Exit received from TradingView (close=160.434) but entry was execution_failed — PnL not recorded.
2026-04-29 15:45:11,,,GBPUSD,BUY,EXECUTION_FAILED,,demand,B,FLIP,NY,LIVE,1.35051,1.34975,1.35811,,,,7.6,10,60,,,Execution exception: invalid literal for int() with base 10: 'None'
2026-04-29 15:45:02,,,GBPUSD,BUY,RISK_REJECTED,ACG-DEMO-3,demand,,FLIP,NY,LIVE,1.35051,1.34975,1.35811,,,,,,60,,,SignalGuard (ACG-DEMO-3): Circuit breaker: 3 consecutive losses ($615 total) — paused 3.8h remaining at rejection (until 2026-04-29 16:32 UTC; 4.0h cooldown from last close)
2026-04-29 14:05:09,,,XAUUSD,SELL,EXECUTION_FAILED,,supply,B+,FLIP,LDN,LIVE,4568.17,4574.71,4463.53,,,,654,16,75,,,Execution exception: invalid literal for int() with base 10: 'None'
2026-04-29 14:05:01,,,XAUUSD,SELL,RISK_REJECTED,ACG-DEMO-3,supply,,FLIP,LDN,LIVE,4568.17,4574.71,4463.53,,,,,,75,,,SignalGuard (ACG-DEMO-3): Circuit breaker: 3 consecutive losses ($615 total) — paused 0.4h remaining at rejection (until 2026-04-29 11:31 UTC; 4.0h cooldown from last close)
